Tweet_Count,Username,Text,Created_At,Retweets,Likes,cleaned_tweet
41,chicoᝰ.ᐟ,It’s always hit different when shun starts the first move 🥹 #TheBoyfriend #shun #dai #shundai #daishun https://t.co/Uq2cQcMrKs,Tue Jul 16 09:24:44 +0000 2024,148,1242,its always hit different when shun starts first move theboyfriend shun dai shundai daishun
42,chicoᝰ.ᐟ,"When shun is tired or sick dai gonna be the one who’s stays with him 🥹🥹🥹
#TheBoyfriend #shundai #daishun #dai #shun https://t.co/pRQ0hg45bz",Tue Jul 16 09:09:00 +0000 2024,46,556,when shun tired or sick dai gonna be one whos stays him theboyfriend shundai daishun dai shun
43,𖣘chia⁷—⋆⑅◌♡ ﾟ,"yall can clearly see who would be the clingiest one here pookiee😚🤏🎀
#TheBoyfriend #Shun #Dai
https://t.co/speIcpPRcd",Tue Jul 16 07:19:25 +0000 2024,45,417,yall can clearly see who would be clingiest one here pookiee theboyfriend shun dai
44,chicoᝰ.ᐟ,I know Dai’s fighting himself not to scream😂#theboyfriend #shun #dai #shundai #daishun . https://t.co/TXJVLjyYLo,Mon Jul 15 21:15:55 +0000 2024,81,908,know dais fighting himself screamtheboyfriend shun dai shundai daishun
45,chicoᝰ.ᐟ,I can't skip their happiness when they were told they were going on a date together 😭#TheBoyfriend #shundai #daishun #shun #dai https://t.co/RZwDBnPxIs,Mon Jul 15 14:56:24 +0000 2024,70,963,cant skip their happiness when they were told they were going date together theboyfriend shundai daishun shun dai
46,chicoᝰ.ᐟ,It’s always the way they hug and look at each other 🥹 #TheBoyfriend #shun #dai #daishun #shundai https://t.co/plkDlGTdb3,Mon Jul 15 14:32:15 +0000 2024,104,969,its always way they hug look each other theboyfriend shun dai daishun shundai
47,chicoᝰ.ᐟ,"still can’t understand ppl who say dai is a RED FLAG!! Just bcz he praised usak ? and he's Alan's friend ?I mean, let's think a little bit, since Alan and Dai are friends, and Alan knows usak doesn't that mean these trio might know eo?or bcz he’s bisexual? #TheBoyfriend #dai https://t.co/kMk88TeDTk",Sun Jul 14 17:57:19 +0000 2024,51,476,still cant understand ppl who say dai red flag just bcz he praised usak hes alans friend mean lets think little bit since alan dai are friends alan knows usak doesnt mean these trio might know eoor bcz hes bisexual theboyfriend dai
48,Ayume 🌙,"My blood is singing with your voice,
I want to pour it out

#dragonage #dai #lavellan #myart #fanart https://t.co/xEtjstKzrX",Sun Jul 14 14:25:37 +0000 2024,37,131,my blood singing your voice want pour out dragonage dai lavellan myart fanart
49,Richie🐳,YESS THEY SHOULD BE HAPPY ENDING #TheBoyfriend #DaiShun #ShunDai #Dai #Shun https://t.co/fkeXcWEXzg,Sun Jul 14 05:55:34 +0000 2024,44,441,yess they should be happy ending theboyfriend daishun shundai dai shun
50,chicoᝰ.ᐟ,I just wanna know how the “I saw some bad aspects of him it threw cold water on my feelings” changed into  “  I just wannabe yours” #theboyfriend #DaiShun #shun #dai https://t.co/W1vVCiDC0L,Sat Jul 13 10:19:50 +0000 2024,128,1240,just wanna know how saw some bad aspects him threw cold water my feelings changed into just wannabe yours theboyfriend daishun shun dai
51,𖣘chia⁷—⋆⑅◌♡ ﾟ,"thinking ab these, as time goes by Shun looks more comfortable. the hugiee he initiates first🥺whether its Shun trying to open his heart or Dai willing to do more or even both. seeing these makes me feel at ease🥹🥹

#TheBoyfriend #Shun #Dai https://t.co/F7oCeskp6l",Sat Jul 13 08:56:53 +0000 2024,80,829,thinking ab these as time goes shun looks more comfortable hugiee he initiates firstwhether its shun trying open his heart or dai willing do more or even both seeing these makes me feel ease theboyfriend shun dai
52,Netflix Philippines,"Who else is rooting the hardest for them to be endgame 🥲

#TheBoyfriend #Shun #Dai #Netflix https://t.co/ohEFIGSpfx",Thu Jul 11 08:30:00 +0000 2024,406,2686,who else rooting hardest them be endgame theboyfriend shun dai netflix
53,Ken Kesey | #LoveInTheBigCity,"I'm totally invested. 😝 
#TheBoyfriend #shun #dai #shundai https://t.co/w3y3nH7Ja8",Wed Jul 10 12:49:07 +0000 2024,32,385,im totally invested theboyfriend shun dai shundai
54,Lark 🧀 Waiting in Lucanis' pantry,"Why did they make Inquisitor Ameridan so hot, tho
#DragonAge #DAI https://t.co/Fa06vAGejg",Tue Jul 09 10:18:38 +0000 2024,37,774,why did they make inquisitor ameridan so hot tho dragonage dai
55,Lark 🧀 Waiting in Lucanis' pantry,"I am SCREAMING, why does Solas KEEP YEETING HIMSELF AWAY JSNDKSBDJDN
#DragonAge #DAI https://t.co/zhS0E1bQSu",Mon Jul 08 08:25:12 +0000 2024,18,253,am screaming why does solas keep yeeting himself away jsndksbdjdn dragonage dai
56,sistasangen,"Dragon Age Inquisition                                          

#VPRT #VirtualPhotography #DAI #DragonAge https://t.co/ecAIWVX6Wn",Sun Jul 07 14:47:10 +0000 2024,9,66,dragon age inquisition vprt virtualphotography dai dragonage
57,Coincards.com - Buy Gift Cards with Bitcoin!,"Here's a breakdown of usage (by $ volume) on Coincards by percentage in June '24:  

#XMR: 34.4%
#BTC (Onchain): 25.96%
#USDC: 20.20%
#ETH: 9.84%
#LTC: 2.49%
#Solana: 2.31%
#Dogecoin: 2.09%
#LightningNetwork: 2.08%
#USDT: 0.58%
#Dai: 0.04%
#Matic: 0.01%
#Dash: 0%",Sat Jul 06 21:33:08 +0000 2024,42,162,heres breakdown usage volume coincards percentage june xmr btc onchain usdc eth ltc solana dogecoin lightningnetwork usdt dai matic dash
58,Adacta Aries//comms are open!,"Small Lavellan cmm. Ho is he talking to?

#DragonAge #dai https://t.co/UnKHuVfKfI",Sat Jul 06 20:41:33 +0000 2024,29,393,small lavellan cmm ho he talking dragonage dai
59,Amionna,"I'm very busy with work right now and don't have much time to draw for myself.
But I can't get past the wave of #DragonAge popularity.
Because it's a very special to me.

Quick sketch

Ami Lavellan
The reason why I started learning to draw

Ar lath ma, vhenan
🖤

#DAI  #Lavellan https://t.co/eeo59L6waC",Sat Jul 06 20:04:41 +0000 2024,127,995,im very busy work right now dont have much time draw myself but cant get past wave dragonage popularity because its very special me quick sketch ami lavellan reason why started learning draw ar lath ma vhenan dai lavellan
60,Sai | Cloudy 🍉 (working on comms),"🐉Opening DAI Sketch Comms🐉
I’ll draw your inky and their partner and YOU can help me save up for a PC so I can play DaV this fall🫵😩

reshares are appreciated❤️🌸
#DAI #DragonAgeInquisition #DragonAge https://t.co/IidJF8ZC6e",Sat Jul 06 19:50:24 +0000 2024,61,165,opening dai sketch comms ill draw your inky their partner can help me save up pc so can play dav fall reshares are appreciated dai dragonageinquisition dragonage
61,Lark 🧀 Waiting in Lucanis' pantry,"My girl defeating the dragon on her own ... again *sigh* 😩
#DragonAge #DAI https://t.co/DS84csjnp6",Thu Jul 04 14:49:00 +0000 2024,0,180,my girl defeating dragon her own again sigh dragonage dai
